Represent,Candidate,in Russian,Age,Height,Hometown
Saint Petersburg,Maria Hernasova,Мариа Хернасова,20,1.78 m (5 ft 10 in),Saint Petersburg
Sakhalin Oblast,Jeannette Menova,Йеаннетте Менова,18,1.75 m (5 ft 9 in),Sakhalin
Samara Oblast,Nadia Gurina,Надиа Гурина,20,1.78 m (5 ft 10 in),Samara
Mordovian Republic,Olga Stepančenko,Олга Степанченко,20,1.75 m (5 ft 9 in),Saransk
Saratov Oblast,Anastasija Marnolova,Анастасия Марнолова,21,1.74 m (5 ft 8 1⁄2 in),Saratov
Smolensk Oblast,Viktoria Ševšenko,Викториа Шевшенко,19,1.73 m (5 ft 8 in),Smolensk
Sverdlovsk Oblast,Julianna Piskunova,Юлианна Пискунова,22,1.87 m (6 ft 1 1⁄2 in),Sverdlovsk
Tambov Oblast,Jenna Lerova,Йенна Лерова,21,1.77 m (5 ft 9 1⁄2 in),Tambov
Yamalo-Nenets Okrug,Ekaterina Borzenkova,Екатерина Борзенкова,19,1.77 m (5 ft 9 1⁄2 in),Tarko-Sale
Tomsk Oblast,Anastasija Tristova,Анастасия Тристова,23,1.78 m (5 ft 10 in),Tomsk
Adygean Republic,Alissa Joanndova,Алисса Йоанндова,19,1.83 m (6 ft 0 in),Tulsky
Tver Oblast,Anastasija Prače’Vysky,Анастасия Прачеьвыскы,19,1.75 m (5 ft 9 in),Tver
Tyumen Oblast,Andrea Maksimova,Андреа Максимова,24,1.84 m (6 ft 1⁄2 in),Tyumen
Bashkortostan Republic,Aimee Neosaranova,Аимее Неосаранова,19,1.77 m (5 ft 9 1⁄2 in),Ufa
Buryatian Republic,Loise Egiazarjan,Лоисе Егиазарян,20,1.85 m (6 ft 1 in),Ulan-Ude
Chechen Republic,Carmen Jenockova,Цармен Йеноцкова,24,1.80 m (5 ft 11 in),Urus-Martan
North Ossetian Republic,Emilianna Ninn,Емилианна Нинн,22,1.76 m (5 ft 9 1⁄2 in),Vladikavkaz
Volgograd Oblast,Indhira Perlova,Индхира Перлова,21,1.78 m (5 ft 10 in),Volgograd
Vologda Oblast,Rosemary Mironova,Росемары Миронова,21,1.74 m (5 ft 8 1⁄2 in),Vologda
Voronezh Oblast,Anastasija Larkova,Анастасия Ларкова,22,1.80 m (5 ft 11 in),Voronezh
Sakha Republic,Sardana Syromyatnikova,Сардана Сыромыатникова,19,1.82 m (5 ft 11 1⁄2 in),Yakutia
Yaroslavl Oblast,Emely Androlevy,Емелы Андролевы,23,1.73 m (5 ft 8 in),Yaroslavl
