,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),total,percent
French.,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.022727272727272728
German,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,9.0,0.06818181818181818
Greek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,0.022727272727272728
Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,0.022727272727272728
Japanese,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,9.0,0.06818181818181818
Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,0.022727272727272728
Russian,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,6.0,0.045454545454545456
Serbo-Croatian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,0.022727272727272728
Spanish,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.022727272727272728
Spanish/Catalan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,0.022727272727272728
