Name of place,Number of counties,Principal county,Lower zip code,Upper zip code,County
Sandy Lake Township,1,Mercer County,,,Mercer County
Sandy Lick,1,Butler County,,,Butler County
Sandy Plains,1,Washington County,15322.0,,Washington County
Sandy Point,1,Butler County,,,Butler County
Sandy Ridge,1,Centre County,16677.0,,Centre County
Sandy Run,1,Greene County,15338.0,,Greene County
Sandy Run,1,Luzerne County,18224.0,,Luzerne County
Sandy Valley,1,Jefferson County,15851.0,,Jefferson County
Sandy Township,1,Clearfield County,,,Clearfield County
Sandycreek Township,1,Venango County,,,Venango County
Sandyville,1,Pike County,18324.0,,Pike County
Sanford,1,Warren County,16340.0,,Warren County
Sankertown,1,Cambria County,16630.0,,Cambria County
Santiago,1,Allegheny County,,,Allegheny County
Sarah Furnace,1,Clarion County,16248.0,,Clarion County
Sardis,1,Westmoreland County,15668.0,,Westmoreland County
Sartwell,1,McKean County,16731.0,,McKean County
Sarver,1,Butler County,16055.0,,Butler County
Sarversville,1,Butler County,16055.0,,Butler County
Sassamansville,1,Montgomery County,19472.0,,Montgomery County
Satterfield,1,Sullivan County,18614.0,,Sullivan County
Satterfield Junction,1,Sullivan County,18614.0,,Sullivan County
Saulsburg,1,Huntingdon County,16652.0,,Huntingdon County
Savage,1,Somerset County,,,Somerset County
Savan,1,Indiana County,,,Indiana County
Saverys Mill,1,Chester County,,,Chester County
Saville,1,Perry County,17074.0,,Perry County
Saville Township,1,Perry County,,,Perry County
Sawtown,1,Venango County,16301.0,,Venango County
Sawyer City,1,McKean County,16701.0,,McKean County
Saxonburg,1,Butler County,16056.0,,Butler County
Saxton,1,Bedford County,16678.0,,Bedford County
Saybrook,1,Warren County,16347.0,,Warren County
Saylorsburg,1,Monroe County,18353.0,,Monroe County
Saylorsville,1,Carbon County,,,Carbon County
Sayre,1,Bradford County,18840.0,,Bradford County
Scab Hill,1,Westmoreland County,,,Westmoreland County
Scalp Level,1,Cambria County,15963.0,,Cambria County
Scammells Corner,1,Bucks County,,,Bucks County
Scandia,1,Warren County,16345.0,,Warren County
Scarlan Hill,1,Cambria County,,,Cambria County
Scarlets Mill,1,Berks County,19508.0,,Berks County
Scattertown,1,Elk County,,,Elk County
Scenery Hill,1,Washington County,15360.0,,Washington County
Scenic Hills,1,Delaware County,19064.0,,Delaware County
Schades Corner,1,Chester County,,,Chester County
Schaefferstown,1,Lebanon County,17088.0,,Lebanon County
Scheidy,1,Lehigh County,,,Lehigh County
Schellsburg,1,Bedford County,15559.0,,Bedford County
Schenley,1,Armstrong County,15682.0,,Armstrong County
Schenley Heights,1,Allegheny County,,,Allegheny County
Scherersville,1,Lehigh County,,,Lehigh County
Schills,1,Clarion County,,,Clarion County
Schlusser,1,Cumberland County,,,Cumberland County
Schnecksville,1,Lehigh County,18078.0,,Lehigh County
Schoeneck,1,Lancaster County,17578.0,,Lancaster County
Schoeneck,1,Northampton County,18064.0,,Northampton County
Schoenersville,1,Northampton County,,,Northampton County
Schoentown,1,Schuylkill County,17965.0,,Schuylkill County
Schofer,1,Berks County,19530.0,,Berks County
Schofield Corners,1,Mercer County,,,Mercer County
Schollard,1,Mercer County,,,Mercer County
School Lane,1,Lancaster County,17603.0,,Lancaster County
School Lane Hills,1,Lancaster County,17604.0,,Lancaster County
Schracktown,1,Clinton County,,,Clinton County
Schubert,1,Berks County,19507.0,,Berks County
Schultzville,1,Berks County,19504.0,,Berks County
Schultzville,1,Lackawanna County,18411.0,,Lackawanna County
Schuster Heights,1,Butler County,16229.0,,Butler County
Schuyler,2,Montour County,17772.0,,Montour County
Schuyler,2,Northumberland County,17772.0,,Northumberland County
Schuylkill,1,Philadelphia County,19146.0,,Philadelphia County
Schuylkill Haven,1,Schuylkill County,17972.0,,Schuylkill County
Schuylkill Hills,1,Montgomery County,19401.0,,Montgomery County
Schuylkill Township,1,Chester County,,,Chester County
Schuylkill Township,1,Schuylkill County,,,Schuylkill County
Schweibinzville,1,Somerset County,,,Somerset County
Schwenksville,1,Montgomery County,19473.0,,Montgomery County
Sciota,1,Monroe County,18354.0,,Monroe County
Sconnelltown,1,Chester County,19380.0,,Chester County
Scotch Hill,1,Clarion County,16233.0,,Clarion County
Scotch Hollow,1,Clearfield County,16666.0,,Clearfield County
Scotia,1,Allegheny County,15025.0,,Allegheny County
Scotia,1,Centre County,,,Centre County
Scotland,1,Franklin County,17254.0,,Franklin County
Scotrun,1,Monroe County,18355.0,,Monroe County
Scott,1,Lackawanna County,,,Lackawanna County
Scott Center,1,Wayne County,18462.0,,Wayne County
Scott Haven,1,Westmoreland County,15083.0,,Westmoreland County
Scott Township,1,Allegheny County,15106.0,,Allegheny County
Scott Township,1,Columbia County,,,Columbia County
Scott Township,1,Lackawanna County,,,Lackawanna County
Scott Township,1,Lawrence County,,,Lawrence County
Scott Township,1,Wayne County,,,Wayne County
Scottdale,1,Westmoreland County,15683.0,,Westmoreland County
Scottsville,1,Beaver County,15001.0,,Beaver County
Scottsville,1,Wyoming County,,,Wyoming County
Scranton,1,Lackawanna County,18501.0,19.0,Lackawanna County
Scranton Army Ammunition Plant,1,Lackawanna County,18502.0,,Lackawanna County
Scrubgrass Township,1,Venango County,,,Venango County
Scullton,1,Somerset County,15557.0,,Somerset County
Scyoc,1,Perry County,17021.0,,Perry County
Seagers,1,Lycoming County,17756.0,,Lycoming County
Seal,1,Chester County,,,Chester County
Seamentown,1,Indiana County,15729.0,,Indiana County
Seanor,1,Somerset County,15953.0,,Somerset County
Searights,1,Fayette County,15401.0,,Fayette County
Sears,1,Philadelphia County,,,Philadelphia County
Sebring,1,Tioga County,16930.0,,Tioga County
Secane,1,Delaware County,19018.0,,Delaware County
Secane Highlands,1,Delaware County,19018.0,,Delaware County
Sechrist Mill,1,York County,,,York County
Sedgwick,1,Adams County,,,Adams County
Sedgwick,1,Philadelphia County,,,Philadelphia County
Sedwicks Mill,1,Butler County,,,Butler County
Seek,1,Schuylkill County,18218.0,,Schuylkill County
Seelyville,1,Wayne County,18431.0,,Wayne County
Seemsville,1,Northampton County,18067.0,,Northampton County
Seger,1,Westmoreland County,15627.0,,Westmoreland County
Seiberlingville,1,Lehigh County,,,Lehigh County
Seidersville,1,Northampton County,18015.0,,Northampton County
Seiple,1,Lehigh County,,,Lehigh County
Seipstown,1,Lehigh County,18031.0,,Lehigh County
Seipsville,1,Northampton County,,,Northampton County
Seisholtzville,1,Berks County,18062.0,,Berks County
Seitzland,1,York County,17327.0,,York County
Seitzville,1,York County,17360.0,,York County
Seldersville,1,Cambria County,,,Cambria County
Selea,1,Huntingdon County,17264.0,,Huntingdon County
Selinsgrove,1,Snyder County,17870.0,,Snyder County
Selinsgrove Junction,1,Northumberland County,,,Northumberland County
Selkirk,1,Warren County,,,Warren County
Sell,1,Adams County,,,Adams County
Sellersville,1,Bucks County,18960.0,,Bucks County
Seltzer,1,Schuylkill County,17974.0,,Schuylkill County
Seltzer City,1,Schuylkill County,,,Schuylkill County
Seminole,1,Armstrong County,16253.0,,Armstrong County
Seneca,1,Venango County,16346.0,,Venango County
Seneca Valley,1,Westmoreland County,15642.0,,Westmoreland County
Sereno,1,Columbia County,17846.0,,Columbia County
Sergeant,1,McKean County,16735.0,,McKean County
Sergeant Township,1,McKean County,,,McKean County
Seven Fields,1,Butler County,16046.0,,Butler County
Seven Pines,1,Juniata County,17082.0,,Juniata County
Seven Points,1,Northumberland County,17801.0,,Northumberland County
Seven Springs,2,Fayette County,15622.0,,Fayette County
Seven Springs,2,Somerset County,15622.0,,Somerset County
Seven Stars,1,Adams County,17307.0,,Adams County
Seven Stars,1,Chester County,,,Chester County
Seven Stars,1,Huntingdon County,,,Huntingdon County
Seven Stars,1,Juniata County,17062.0,,Juniata County
Seven Stars,1,Montgomery County,,,Montgomery County
Seven Valleys,1,York County,17360.0,,York County
Seward,1,Westmoreland County,15954.0,,Westmoreland County
Sewickley,1,Allegheny County,15143.0,,Allegheny County
Sewickley Heights,1,Allegheny County,15143.0,,Allegheny County
Sewickley Heights Township,1,Allegheny County,,,Allegheny County
Sewickley Hills,1,Allegheny County,15143.0,,Allegheny County
Sewickley Township,1,Allegheny County,,,Allegheny County
Sewickley Township,1,Westmoreland County,,,Westmoreland County
Seybertown,1,Armstrong County,16028.0,,Armstrong County
Seyfert,1,Berks County,19508.0,,Berks County
Seyoc,1,Perry County,,,Perry County
Shackamaxon,1,Philadelphia County,,,Philadelphia County
Shade Gap,1,Huntingdon County,17255.0,,Huntingdon County
Shade Township,1,Somerset County,,,Somerset County
Shade Valley,1,Huntingdon County,17213.0,,Huntingdon County
Shadeland,1,Crawford County,16435.0,,Crawford County
Shades Glen,1,Luzerne County,18661.0,,Luzerne County
Shadle,1,Snyder County,15666.0,,Snyder County
Shado-wood Village,1,Indiana County,15701.0,,Indiana County
Shadow Shuttle,1,Allegheny County,15235.0,,Allegheny County
Shady Grove,1,Franklin County,17256.0,,Franklin County
Shady Plain,1,Armstrong County,15686.0,,Armstrong County
Shadyside,1,Allegheny County,15232.0,,Allegheny County
Shaffer,1,Clearfield County,15801.0,,Clearfield County
Shaffers Corner,1,Fayette County,15416.0,,Fayette County
Shaffers Corners,1,Lackawanna County,,,Lackawanna County
Shaffersville,1,Huntingdon County,16652.0,,Huntingdon County
Shaft,1,Schuylkill County,17976.0,,Schuylkill County
Shaft,1,Somerset County,,,Somerset County
Shafton,1,Westmoreland County,15642.0,,Westmoreland County
Shainline,1,Montgomery County,,,Montgomery County
Shaler Township,1,Allegheny County,,,Allegheny County
Shalercrest,1,Allegheny County,15223.0,,Allegheny County
Shamburg,1,Clarion County,,,Clarion County
Shamburg,1,Venango County,,,Venango County
Shamokin,1,Northumberland County,17872.0,,Northumberland County
Shamokin Dam,1,Snyder County,17876.0,,Snyder County
Shamokin Township,1,Northumberland County,,,Northumberland County
Shamrock,1,Berks County,,,Berks County
Shamrock,1,Fayette County,15401.0,,Fayette County
Shamrock,1,Greene County,,,Greene County
Shamrock,1,Northumberland County,,,Northumberland County
Shamrock,1,Somerset County,,,Somerset County
Shamrock Station,1,Berks County,19539.0,,Berks County
Shaner,1,Westmoreland County,15642.0,,Westmoreland County
Shaners Crossroads,1,Westmoreland County,15656.0,,Westmoreland County
Shanesville,1,Berks County,19512.0,,Berks County
Shankles,1,Clearfield County,15801.0,,Clearfield County
Shanks Mill,1,Adams County,,,Adams County
Shanksville,1,Somerset County,15560.0,,Somerset County
Shanktown,1,Indiana County,15777.0,,Indiana County
Shankweilers,1,Lehigh County,,,Lehigh County
Shannon Heights,1,Allegheny County,15235.0,,Allegheny County
Shannondale,1,Clarion County,16240.0,,Clarion County
Shanor Heights,1,Butler County,16001.0,,Butler County
Shanor-Northvue,1,Butler County,,,Butler County
Sharon,1,Mercer County,16146.0,,Mercer County
Sharon Center,1,Potter County,16748.0,,Potter County
Sharon Hill,1,Delaware County,19079.0,,Delaware County
Sharon North,1,Mercer County,16146.0,,Mercer County
Sharon Park,1,Delaware County,19079.0,,Delaware County
Sharon Township,1,Potter County,,,Potter County
Sharpe,1,Fulton County,,,Fulton County
Sharpe Hill,1,Allegheny County,,,Allegheny County
Sharps Hill,1,Allegheny County,15215.0,,Allegheny County
Sharpsburg,1,Allegheny County,15215.0,,Allegheny County
Sharpsburg,1,Huntingdon County,17060.0,,Huntingdon County
Sharpsville,1,Mercer County,16150.0,,Mercer County
Sharrertown,1,Washington County,15427.0,,Washington County
Shartlesville,1,Berks County,19554.0,,Berks County
Shavertown,1,Delaware County,19062.0,,Delaware County
Shavertown,1,Luzerne County,18708.0,,Luzerne County
Shaw Junction,1,Lawrence County,,,Lawrence County
Shaw Mine,1,Washington County,15057.0,,Washington County
Shaw Mines,1,Somerset County,15552.0,,Somerset County
Shawanese,1,Luzerne County,18654.0,,Luzerne County
Shawmont,1,Philadelphia County,,,Philadelphia County
Shawmut,1,Elk County,15823.0,,Elk County
Shawnee,1,Mifflin County,,,Mifflin County
Shawnee,1,Monroe County,,,Monroe County
Shawnee on Delaware,1,Monroe County,18356.0,,Monroe County
Shaws,1,Crawford County,16335.0,,Crawford County
Shaws Corners,1,Crawford County,,,Crawford County
Shawsville,1,Clearfield County,,,Clearfield County
Shawtown,1,Westmoreland County,15642.0,,Westmoreland County
Shawville,1,Clearfield County,16873.0,,Clearfield County
Shawwood Park,1,Butler County,,,Butler County
Shay,1,Armstrong County,16226.0,,Armstrong County
Shaytown,1,Potter County,,,Potter County
Shazen,1,Cambria County,,,Cambria County
Sheakleyville,1,Mercer County,16151.0,,Mercer County
Shearersburg,1,Westmoreland County,15656.0,,Westmoreland County
Sheatown,1,Luzerne County,18634.0,,Luzerne County
Sheeder,1,Chester County,19475.0,,Chester County
Sheerlund Forest,1,Berks County,19607.0,,Berks County
Sheffer,1,York County,,,York County
Sheffield,1,Warren County,16347.0,,Warren County
Sheffield Junction,1,Forest County,,,Forest County
Sheffield Township,1,Warren County,,,Warren County
Shehawken,1,Wayne County,18462.0,,Wayne County
Shelander Hollow,1,Warren County,,,Warren County
Shellsville,1,Dauphin County,17028.0,,Dauphin County
Shelltown,1,Blair County,,,Blair County
Shelly,1,Bucks County,18951.0,,Bucks County
Shellytown,1,Blair County,16693.0,,Blair County
Shelocta,1,Indiana County,15774.0,,Indiana County
Shelvey,1,Elk County,15846.0,,Elk County
Shenandoah,1,Schuylkill County,17976.0,,Schuylkill County
Shenandoah Heights,1,Schuylkill County,17976.0,,Schuylkill County
Shenandoah Junction,1,Schuylkill County,17976.0,,Schuylkill County
Shenango,1,Mercer County,16125.0,,Mercer County
Shenango Township,1,Lawrence County,,,Lawrence County
Shenango Township,1,Mercer County,,,Mercer County
Shenkel,1,Chester County,19464.0,,Chester County
Shenks Ferry,1,York County,17309.0,,York County
Shepherd Hills,1,Lehigh County,,,Lehigh County
Shepherdstown,1,Cumberland County,17055.0,,Cumberland County
Sheppton,1,Schuylkill County,18248.0,,Schuylkill County
Sheppton-Oneida,1,Schuylkill County,,,Schuylkill County
Sheraden,1,Allegheny County,,,Allegheny County
Sherersville,1,Lehigh County,18104.0,,Lehigh County
Sheridan,1,Lebanon County,17073.0,,Lebanon County
Sheridan,1,Schuylkill County,17980.0,,Schuylkill County
Sherman,1,Wayne County,13754.0,,Wayne County
Shermans Dale,1,Perry County,17090.0,,Perry County
Shermansville,1,Crawford County,16316.0,,Crawford County
Sherrett,1,Armstrong County,16218.0,,Armstrong County
Sherwin,1,Butler County,,,Butler County
Sheshequin,1,Bradford County,18850.0,,Bradford County
Sheshequin Township,1,Bradford County,,,Bradford County
Shetters Grove,1,York County,17405.0,,York County
Shettleston,1,Centre County,,,Centre County
Shickshinny,1,Luzerne County,18655.0,,Luzerne County
Shields,1,Allegheny County,15143.0,,Allegheny County
Shieldsburg,1,Westmoreland County,15670.0,,Westmoreland County
Shillington,1,Berks County,19607.0,,Berks County
Shiloh,1,Clearfield County,,,Clearfield County
Shiloh,1,York County,17404.0,,York County
Shiloh East,1,York County,17405.0,,York County
Shimersville,1,Northampton County,,,Northampton County
Shimerville,1,Lehigh County,18049.0,,Lehigh County
Shimpstown,1,Franklin County,17236.0,,Franklin County
Shindle,1,Mifflin County,17841.0,,Mifflin County
Shinerville,1,Sullivan County,,,Sullivan County
Shingiss,1,Washington County,,,Washington County
Shinglebury,1,Tioga County,,,Tioga County
Shinglehouse,1,Potter County,16748.0,,Potter County
Shingletown,1,Centre County,16801.0,,Centre County
Shintown,1,Clinton County,17764.0,,Clinton County
Shipmans Eddy,1,Warren County,16365.0,,Warren County
Shippen Township,1,Cameron County,,,Cameron County
Shippen Township,1,Tioga County,,,Tioga County
Shippensburg,2,Cumberland County,17257.0,,Cumberland County
Shippensburg,2,Franklin County,17257.0,,Franklin County
Shippensburg Township,1,Cumberland County,,,Cumberland County
Shippenville,1,Clarion County,16254.0,,Clarion County
Shippingport,1,Beaver County,15077.0,,Beaver County
Shire Oaks,1,Washington County,,,Washington County
Shiremanstown,1,Cumberland County,17011.0,,Cumberland County
Shirks Corner,1,Montgomery County,19473.0,,Montgomery County
Shirksville,1,Lebanon County,,,Lebanon County
Shirley Township,1,Huntingdon County,,,Huntingdon County
Shirleysburg,1,Huntingdon County,17260.0,,Huntingdon County
Shoaf,1,Fayette County,15478.0,,Fayette County
Shoaf Ovens,1,Fayette County,,,Fayette County
Shober,1,Somerset County,,,Somerset County
Shocks Mills,1,Lancaster County,17547.0,,Lancaster County
Shoemaker,1,Cambria County,15946.0,,Cambria County
Shoemakers,1,Monroe County,18301.0,,Monroe County
Shoemakers,1,Schuylkill County,17948.0,,Schuylkill County
Shoemakersville,1,Berks County,19555.0,,Berks County
Shoenberger,1,Huntingdon County,16686.0,,Huntingdon County
Shoenersville,2,Lehigh County,18103.0,,Lehigh County
Shoenersville,2,Northampton County,18103.0,,Northampton County
Shohola,1,Pike County,18458.0,,Pike County
Shohola Falls,1,Pike County,,,Pike County
Shohola Township,1,Pike County,,,Pike County
Shope Gardens,1,Dauphin County,17057.0,,Dauphin County
Shorbes Hill,1,York County,17331.0,,York County
Short Run,1,Potter County,,,Potter County
Shortsville,1,Tioga County,16935.0,,Tioga County
Shousetown,1,Allegheny County,,,Allegheny County
Shrader,1,Mifflin County,17084.0,,Mifflin County
Shreiners,1,Lancaster County,,,Lancaster County
Shreiners,1,Snyder County,,,Snyder County
Shrewsbury,1,York County,17361.0,,York County
Shrewsbury Township,1,Lycoming County,,,Lycoming County
Shrewsbury Township,1,Sullivan County,,,Sullivan County
Shrewsbury Township,1,York County,,,York County
Shumans,1,Columbia County,17815.0,,Columbia County
Shunk,1,Sullivan County,17768.0,,Sullivan County
Shy Beaver,1,Huntingdon County,16610.0,,Huntingdon County
Sibleyville,1,Erie County,,,Erie County
Sickler Hill,1,Luzerne County,,,Luzerne County
Sickles Corner,1,Blair County,16601.0,,Blair County
Siddonsburg,1,York County,17019.0,,York County
Sidell,1,Clarion County,,,Clarion County
Sides,1,Indiana County,,,Indiana County
Sidley,1,Erie County,,,Erie County
Sidman,1,Cambria County,15955.0,,Cambria County
Sidney,1,Indiana County,,,Indiana County
Siegfried,1,Northampton County,18067.0,,Northampton County
Sigel,1,Jefferson County,15860.0,,Jefferson County
Siglerville,1,Mifflin County,17063.0,,Mifflin County
Sigmund,1,Lehigh County,18092.0,,Lehigh County
Sigsbee,1,Greene County,15338.0,,Greene County
Siko,1,Wayne County,,,Wayne County
Siles,1,Bucks County,,,Bucks County
Silkworth,1,Luzerne County,18621.0,,Luzerne County
Silvara,1,Bradford County,18623.0,,Bradford County
Silver Brook,1,Schuylkill County,,,Schuylkill County
Silver Creek,1,Schuylkill County,17959.0,,Schuylkill County
Silver Ford Heights,1,Mifflin County,17066.0,,Mifflin County
Silver Lake,1,Bucks County,18940.0,,Bucks County
Silver Lake,1,Susquehanna County,18812.0,,Susquehanna County
Silver Lake,1,York County,17339.0,,York County
Silver Lake Township,1,Susquehanna County,,,Susquehanna County
Silver Mills,1,Bedford County,,,Bedford County
Silver Spring,1,Lancaster County,17575.0,,Lancaster County
Silver Spring,1,Pike County,,,Pike County
Silver Spring Township,1,Cumberland County,,,Cumberland County
Silverbrook,1,Schuylkill County,,,Schuylkill County
Silverdale,1,Bucks County,18962.0,,Bucks County
Silverton,1,Schuylkill County,,,Schuylkill County
Silverville,1,Butler County,16055.0,,Butler County
Simmonstown,1,Lancaster County,17527.0,,Lancaster County
Simpson,1,Fayette County,,,Fayette County
Simpson,1,Lackawanna County,18407.0,,Lackawanna County
Simpson,1,McKean County,,,McKean County
Simpson Store,1,Washington County,15377.0,,Washington County
Sinclair,1,Westmoreland County,,,Westmoreland County
Singersville,1,Dauphin County,17018.0,,Dauphin County
Sinking Spring,1,Berks County,19608.0,,Berks County
Sinking Valley,1,Blair County,16601.0,,Blair County
Sinnamahoning,1,Cameron County,15861.0,,Cameron County
Sinnemahoning,1,Cameron County,,,Cameron County
Sinsheim,1,York County,17362.0,,York County
Siousca,1,Chester County,,,Chester County
Sipes Mill,1,Fulton County,17238.0,,Fulton County
Sipesville,1,Somerset County,15561.0,,Somerset County
Sistersville,1,Armstrong County,,,Armstrong County
Sitka,1,Fayette County,,,Fayette County
Siverly,1,Venango County,,,Venango County
Six Mile Run,1,Bedford County,16679.0,,Bedford County
Six Points,1,Butler County,16049.0,,Butler County
Sixtieth Street,1,Philadelphia County,19139.0,,Philadelphia County
Sizerville,1,Cameron County,15834.0,,Cameron County
